timestamp,git_sha,case,lang,median_s,rss_bytes,bin_bytes
2026-08-15T06:34:44Z,aa266d72,json,go,0.12,59637760,3074482
2026-08-15T06:41:25Z,aa266d72,fib,bit,0.29,1933312,150624
2026-08-15T06:41:25Z,aa266d72,fib,c,0.15,1474560,33448
2026-08-15T06:41:25Z,aa266d72,fib,go,0.22,4194304,2509170
2026-08-15T06:41:25Z,aa266d72,mandelbrot,bit,1.24,1933312,150631
2026-08-15T06:41:25Z,aa266d72,mandelbrot,c,0.37,1458176,33440
2026-08-15T06:41:25Z,aa266d72,mandelbrot,go,0.38,4259840,2509186
2026-08-15T06:41:25Z,aa266d72,collatz,bit,0.38,1933312,150628
2026-08-15T06:41:25Z,aa266d72,collatz,c,0.09,1458176,33432
2026-08-15T06:41:25Z,aa266d72,collatz,go,0.14,4194304,2509138
2026-08-15T06:41:25Z,aa266d72,alloc,bit,1.56,10665984,167154
2026-08-15T06:41:25Z,aa266d72,alloc,c,0.12,1622016,33512
2026-08-15T06:41:25Z,aa266d72,alloc,go,0.07,11124736,2509202
2026-08-15T06:41:25Z,aa266d72,strings,bit,2.67,998408192,183732
2026-08-15T06:41:25Z,aa266d72,strings,c,0.02,32161792,33640
2026-08-15T06:41:25Z,aa266d72,strings,go,0.06,87736320,2509154
2026-08-15T06:41:25Z,aa266d72,map,bit,0.55,56573952,200288
2026-08-15T06:41:25Z,aa266d72,map,c,0.04,202833920,33544
2026-08-15T06:41:25Z,aa266d72,map,go,0.10,43466752,2509522
2026-08-15T06:41:25Z,aa266d72,sort,bit,1.04,48267264,183825
2026-08-15T06:41:25Z,aa266d72,sort,c,0.06,11567104,33656
2026-08-15T06:41:25Z,aa266d72,sort,go,0.08,15417344,2527618
2026-08-15T06:41:25Z,aa266d72,matrix,bit,10.03,33505280,183651
2026-08-15T06:41:25Z,aa266d72,matrix,c,0.09,7815168,33560
2026-08-15T06:41:25Z,aa266d72,matrix,go,0.23,11386880,2509138
2026-08-15T06:41:25Z,aa266d72,json,bit,6.76,1186725888,283601
2026-08-15T06:41:25Z,aa266d72,json,c,0.06,131252224,34056
2026-08-15T06:41:25Z,aa266d72,json,go,0.11,63586304,3074482
2026-08-15T07:58:15Z,686876ad,fib,bit,0.29,1933312,150624
2026-08-15T07:58:15Z,686876ad,fib,c,0.14,1474560,33448
2026-08-15T07:58:15Z,686876ad,fib,go,0.22,4210688,2509170
2026-08-15T07:58:15Z,686876ad,mandelbrot,bit,1.19,1933312,150631
2026-08-15T07:58:15Z,686876ad,mandelbrot,c,0.36,1458176,33440
2026-08-15T07:58:15Z,686876ad,mandelbrot,go,0.39,4276224,2509186
2026-08-15T07:58:15Z,686876ad,collatz,bit,0.35,1933312,150628
2026-08-15T07:58:15Z,686876ad,collatz,c,0.09,1458176,33432
2026-08-15T07:58:15Z,686876ad,collatz,go,0.14,4276224,2509138
2026-08-15T07:58:15Z,686876ad,alloc,bit,1.36,10665984,167154
2026-08-15T07:58:15Z,686876ad,alloc,c,0.13,1622016,33512
2026-08-15T07:58:15Z,686876ad,alloc,go,0.07,10797056,2509202
2026-08-15T07:58:15Z,686876ad,strings,bit,2.34,998408192,183732
2026-08-15T07:58:15Z,686876ad,strings,c,0.02,32161792,33640
2026-08-15T07:58:15Z,686876ad,strings,go,0.05,87851008,2509154
2026-08-15T07:58:15Z,686876ad,map,bit,0.45,56573952,200288
2026-08-15T07:58:15Z,686876ad,map,c,0.04,202833920,33544
2026-08-15T07:58:15Z,686876ad,map,go,0.08,43466752,2509522
2026-08-15T07:58:15Z,686876ad,sort,bit,0.95,48250880,183825
2026-08-15T07:58:15Z,686876ad,sort,c,0.06,11567104,33656
2026-08-15T07:58:15Z,686876ad,sort,go,0.08,15335424,2527618
2026-08-15T07:58:15Z,686876ad,matrix,bit,9.80,33505280,183651
2026-08-15T07:58:15Z,686876ad,matrix,c,0.09,7815168,33560
2026-08-15T07:58:15Z,686876ad,matrix,go,0.22,11386880,2509138
2026-08-15T07:58:15Z,686876ad,json,bit,6.17,1186742272,283601
2026-08-15T07:58:15Z,686876ad,json,c,0.05,131252224,34056
2026-08-15T07:58:15Z,686876ad,json,go,0.10,59604992,3074482
